title;url;description;related_games;genres;platforms;ign_score;ign_score_phrase;community_score;community_score_phrase;publisher;developers;rating_category;rating_content;release_date;price;review_link
Tennis Arena;http://www.ign.com/games/tennis-arena/ps-2204;Fast-paced, arcade-style tennis comes to the PlayStation with TENNIS ARENA. You can choose from eight different players, each with has unique strengths and weaknesses. When you are ready for some action, play some Smash Tennis and try to beat an opponent in a single match on any of the five available arenas. When you want some extended competition, try to become the top-ranked player in the word with the World Cup mode. If you have friends who like to play tennis, hook up a Multi-tap and play some doubles. Now matter how you play, power-ups appear after you return the ball six times in a row, and special shots that are unique to each character are available after a nine-shot rally. Play tennis like never before with TENNIS ARENA.;http://www.ign.com/games/ncaa-football-2001/ps-14657,http://www.ign.com/games/nhl-2001/ps-14658,http://www.ign.com/games/tony-hawks-pro-skater-2/ps-14304,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Sports;PS;5.0;Mediocre;6.3;Okay;Ubisoft;Smart Dog;K-A for No Rating;;Fall 1997;42.99 USD;http://psx.ign.com/articles/152/152204p1.html
Rampage: World Tour;http://www.ign.com/games/rampage-world-tour/n64-2289;If kicking the crud out of police forces, armies, pesky civilians, and giant skyscrapers is your cup of tea, RAMPAGE: World Tour might just be your salvation. In a raucous update of the coin-operated original, you choose from three monsters Lizzy, George, and Ralph and try to out-stomp your opponents. Featuring an eye-popping 130 regular levels and 14 bonus levels, you've got plenty of destruction in your future providing for a refreshingly long shelf life. It's not an overly complex game, but that's really its charm: pure, unabashed rage, and no messy story to get in the way. Midway has gone back to a time-tested favorite, and brought a perfect balance of faithfulness and ingenuity to the mix. The gameplay is similar to the original, but now you can kick, jump on top of airplanes, and bounce off buildings. You can also configure the controls just about any way you'd like, and the Nintendo 64 version supports up to three players.;http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933;Action;N64 PS GBC PC PS3 Arcade Saturn;4.9;Bad;6.8;Okay;Midway  Games;Saffire;T for Teen;Comic Mischief;Mar. 30, 1998;57.99 USD;http://ign64.ign.com/articles/152/152289p1.html
Pitfall 3D;http://www.ign.com/games/pitfall-3d/ps-2101;In PITFALL 3D you're going to be taking Pitfall Harry (voiced by ARMY OF DARKNESS star Bruce Campbell) across levels built using the classic PITFALL formula. In other words, you'll see signature items like the swinging vines, nasty scorpions, gold bars, and plenty of jumping action. Everything is well placed in new environments, but some conventions, like the swinging action, are still pretty fresh among the new platformers. The story sees Harry entering another dimension that's being enslaved by an evil being called The Scourge, who's changing all the world's magical energy from good to bad.  PITFALL 3D is considered by many to be an excellent update of a classic game. Can you save the world from The Scourge? The only way to find out is to play PITFALL 3D: Beyond the Jungle.;http://www.ign.com/games/crash-bandicoot/ps-603,http://www.ign.com/games/crash-bandicoot-warped/ps-3919,http://www.ign.com/games/crash-bandicoot-2-cortex-strikes-back/ps-2037,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Platformer;PS GBC;7.0;Good;7.2;Good;Activision;Activision;T for Teen;Animated Violence;Mar 26, 1998;35.9 USD;http://psx.ign.com/articles/152/152101p1.html
San Francisco Rush: Extreme Racing;http://www.ign.com/games/san-francisco-rush-extreme-racing/n64-1941;"Careen through the ""City by the Bay"" at breakneck speeds as you find shortcuts, brave makeshift ramps, and uncover a myriad of secrets. Based on the groundbreaking coin-operated favorite, HARD DRIVIN', this update lives up to the reputation of the original. Experience eight unique racecars as you take to six different tracks, searching for alternate routes in order to get the best of your foes. Virtually everything is customizable here: you can select the total number of laps in each race, the number of opponents you'll face, and whether the course should be standard, reversed, or mirrored. Not only that, you choose weather conditions, difficulty level, and which gauges you'll be able to see you might rather have an uncluttered screen than access to your RPMs. All of these options certainly give the game as high a replay value as possible, and the obstacles are always different adding even more to the enjoyment factor. The game also has a Dual-Player mode in which you square off head-to-head with a friend (or enemy). If fast cars and cutthroat strategizing are your idea of a good time, get ready for the ride of your life.";http://www.ign.com/games/mario-kart-64/n64-502,http://www.ign.com/games/diddy-kong-racing/n64-2146,http://www.ign.com/games/f-zero-x/n64-418,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933;Racing;N64 Arcade PS GBC;8.9;Great;8.4;Great;Midway  Games;Atari Games;E for Everyone;;Nov. 08, 1997;11.5 USD;http://ign64.ign.com/articles/151/151941p1.html
Dragon Ball GT Final Bout;http://www.ign.com/games/dragon-ball-gt-final-bout/ps-2207;First released in limited quantities in 1997, Dragon Ball Z GT: Final Bout is back to honor the enormous popularity of the Dragon Ball animated series. Faithfully reproduced in its entirety, this much sought-after title offers a one-two punch of DBGT and DBZcharacters, as well as a powerful variety of ruthless fighting modes. Brilliantly packaged with exclusive cover art from Toei Animation, Final Bout is the perfect addition to every fan's collection.;http://www.ign.com/games/street-fighter-alpha/ps-181,http://www.ign.com/games/digimon-world-2/ps-16355,http://www.ign.com/games/tekken-3/ps-2294,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Fighting;PS;3.0;Awful;5.8;Mediocre;Bandai;Bandai;T for Teen;Violence;Feb 1, 1997;;http://psx.ign.com/articles/152/152207p1.html
Mass Destruction;http://www.ign.com/games/mass-destruction/ps-2164;Mass Destruction is a mission-based tank shooting game. Jump into one of three tanks each with its own strengths and weaknesses and take on 24 different missions, each with its own set of objectives. You must complete all the primary and secondary objectives and make your way to the extraction area for a mission to end successfully. During the course of the game, you can pick up tons of different weapons and destroy anything in your path. You'll encounter a seemingly endless array of tanks, helicopters, infantry, flamethrowers, buildings, bunkers, and gun turrets. Gamers can also expect big bosses and frantic, arcade-based shooting fun. Nearly every object on the screen can be blown up, so shooter fans will be in destruction heaven.;http://www.ign.com/games/metal-gear-solid/ps-569,http://www.ign.com/games/resident-evil-3-nemesis/ps-11482,http://www.ign.com/games/resident-evil-2/ps-504,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Action;PS PC PC PS3 PSP Saturn;7.0;Good;7.2;Good;ASC Games;NMS Software;T for Teen;Animated Violence;Oct 30, 1997;26.99 USD;http://psx.ign.com/articles/152/152164p1.html
Need for Speed: V-Rally;http://www.ign.com/games/need-for-speed-v-rally/ps-2129;NEED FOR SPEED: V-Rally is loaded with 42 tracks and 11 cars. Particularly impressive is the total number of tracks available, which is about three times as many as the standard racing game offers. Each track has a unique look, and there are plenty of conditions dirt, asphalt, snow, and rain to race in, resulting in extended gameplay. You also get an impressive selection of rally cars, including the Subaru Impreza, Mitsubishi Lancer, and various other big names. There is the usual lineup of options, with Arcade, Championship, and Time Trial modes to test your mettle. You can also take on a friend in split-screen Multiplayer mode to find out who can claim the prize as the rally champion.;http://www.ign.com/games/gran-turismo-1998/ps-2226,http://www.ign.com/games/crash-team-racing/ps-11595,http://www.ign.com/games/gran-turismo-2/ps-11426,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Racing;PS;8.0;Great;7.0;Good;Electronic Arts;Eden Games;E for Everyone;;Nov 4, 1997;42.99 USD;http://psx.ign.com/articles/152/152129p1.html
Caesars Palace;http://www.ign.com/games/caesars-palace/ps-2028;"CAESARS PALACE brings casino gambling at its finest to the PlayStation. Start out with $1,000 and try to turn it into a million playing Baccarat, Roulette, Craps, Blackjack, and slot machines. Just in case you don't know how to play a game, watch the official Caesars Palace Casino Tutorial. After watching the video, you'll want to hit the tables with lower bet limits; as your winnings increase, new tables with higher limits and minimums open up. Statistician and gambling guru, Dr. William Bertram, has verified the payoffs and odds, so the chances of winning big are the same as in the real world. CAESARS PALACE has all of the excitement of real world gambling without all of the losses.";http://www.ign.com/games/pachitte-conmage/ps-494590,http://www.ign.com/games/the-gambler/ps-571322,http://www.ign.com/games/heiwa-parlor-pro-lupin-the-iiird-special-special/ps-893350,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Casino;PS NES SNES GG Mac Gen N64 GB;6.0;Okay;6.3;Okay;Interplay;Beam Software;E for Everyone;Gaming;Nov 30, 1997;52.99 USD;http://psx.ign.com/articles/152/152028p1.html
Crash Bandicoot 2: Cortex Strikes Back;http://www.ign.com/games/crash-bandicoot-2-cortex-strikes-back/ps-2037;The evil Dr. Neo Cortex is back with a vengeance .. this time ... to save the world? And he's asking for helo from his arch-nemesis, Crash Bandicoot? Or is it just some conniving plan to lure Crash into a deadly trap for his own evil bidding? Find out as Crash takes on a whole new adventure that's out of this world!;http://www.ign.com/games/crash-bandicoot/ps-603,http://www.ign.com/games/crash-bandicoot-warped/ps-3919,http://www.ign.com/games/spyro-year-of-the-dragon/ps-14725,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Platformer;PS PS3 PSP;8.5;Great;8.6;Great;Sony Computer Entertainment;Naughty Dog Software;E for Everyone;No Descriptors;August 12, 2002;39.99 USD;http://psx.ign.com/articles/152/152037p1.html
Colony Wars;http://www.ign.com/games/colony-wars/ps-2034;"Scientists have been able to increase the life expectancy of humans. The unintended consequence of this is the rapid overpopulation of the Earth. Luckily, space flight has become commonplace, and Earth is able to establish colonies on distant planets, thus creating the Earth Empire. The Czar, a man so ruthless that he would destroy a planet rather than deal with an uprising, rules the Empire. In this environment, the outer colonies have banded together to form the League of Free Worlds; their goal is to free the outer colonies from the oppression of Earth. Take the role of a League fighter pilot as he flies six ships in 70 different missions. How well the missions are executed determines how the plot evolves, which of the 25 stunning full-motion video sequences are seen, and which of the five endings is the result of the war. Only you can help the League win its independence in COLONY WARS.";http://www.ign.com/games/metal-gear-solid/ps-569,http://www.ign.com/games/resident-evil-3-nemesis/ps-11482,http://www.ign.com/games/resident-evil-2/ps-504,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Action;PS;9.3;Amazing;8.5;Great;Psygnosis;Psygnosis;E for Everyone;Animated Violence;November;34.99 USD;http://psx.ign.com/articles/152/152034p1.html
